Time,traffic information,RP
20150419_17,77.20,90.00
20150419_18,77.30,91.40
20150419_19,77.80,91.90
20150419_20,78.00,92.30
20150419_21,77.90,92.10
20150419_22,77.70,92.70
20150419_23,77.40,92.80
20150420_00,77.80,92.50
20150420_01,78.30,92.70
20150420_02,78.90,91.00
20150420_03,78.50,93.60
20150420_04,77.20,92.10
20150420_05,76.60,90.90
20150420_06,76.10,83.70
20150420_07,74.20,88.00
20150420_08,75.20,88.90
20150420_09,75.70,89.60
20150420_10,76.40,90.30
20150420_11,76.60,89.90
20150420_12,77.10,90.40
20150420_13,76.20,90.40
20150420_14,76.10,90.20
20150420_15,76.10,89.00
20150420_16,76.10,89.10
20150420_17,76.00,89.60
20150420_18,75.20,88.10
20150420_19,76.70,90.10
20150420_20,77.40,91.50
20150420_21,77.50,91.50
20150420_22,77.50,92.30
20150420_23,78.00,92.50
20150421_00,78.40,92.10
20150421_01,79.50,91.70
20150421_02,79.30,92.90
20150421_03,78.90,92.20
20150421_04,78.40,91.90
20150421_05,76.80,90.50
20150421_06,76.10,87.50
20150421_07,74.40,88.80
20150421_08,75.50,90.30
20150421_09,75.50,89.40
20150421_10,76.20,89.30
20150421_11,76.30,89.30
20150421_12,77.20,90.80
20150421_13,75.90,89.00
20150421_14,76.20,89.20
20150421_15,75.70,88.30
20150421_16,76.60,88.60
20150421_17,75.60,88.30
20150421_18,74.50,87.00
20150421_19,76.00,90.50
20150421_20,76.80,90.90
20150421_21,77.40,91.00
20150421_22,77.30,91.60
20150421_23,77.80,91.20
20150422_00,78.00,92.40
20150422_01,79.20,91.50
20150422_02,79.40,92.10
20150422_03,79.10,92.20
20150422_04,78.30,91.10
20150422_05,76.70,92.40
20150422_06,76.10,88.20
20150422_07,74.70,88.70
20150422_08,75.90,90.00
20150422_09,75.90,89.40
20150422_10,76.30,90.20
20150422_11,76.60,89.90
20150422_12,77.40,90.90
20150422_13,76.00,90.40
20150422_14,76.20,89.60
20150422_15,75.80,89.80
20150422_16,76.30,90.00
20150422_17,75.70,89.30
20150422_18,74.80,87.80
20150422_19,76.60,89.40
20150422_20,77.20,90.70
20150422_21,77.70,91.30
20150422_22,77.50,91.50
20150422_23,78.20,92.30
20150423_00,78.10,91.30
20150423_01,79.70,92.00
20150423_02,79.90,91.80
20150423_03,79.40,92.00
20150423_04,78.60,91.20
20150423_05,77.30,91.40
20150423_06,76.40,87.70
20150423_07,74.90,89.10
20150423_08,75.70,90.30
20150423_09,76.30,89.60
20150423_10,76.80,89.40
20150423_11,77.00,89.20
20150423_12,77.50,90.90
20150423_13,76.50,90.40
20150423_14,76.70,89.00
20150423_15,76.70,89.00
20150423_16,76.50,88.80
